fastqs,sample,library_type
/suffolk/RawGenomicsH/Genomics_Group/fastqs/ImmunoPheno_project/007_Immuno_GP0030/SLX-23811_ATAC/atac_fastq,SLX-23811,Chromatin Accessibility
/suffolk/RawGenomicsH/Genomics_Group/fastqs/ImmunoPheno_project/007_Immuno_GP0030/SLX-22953_GEX/rna_fastq,SLX-22953,Gene Expression

